,comment,freq,comment_find
0,같은목소리로 수다 떨때,2,같은목소리로 수다 떨때
54,시간들이 아깝고 후회가,2,시간들이 아깝고 후회가
58,아깝고 후회가 마니,2,아깝고 후회가 마니
59,아깝고 후회가 마니 남네요,2,아깝고 후회가 마니 남네
62,열심히 놀았을때가 그립습니다,2,열심히 놀았을때가 그립습니다
63,열심히 놀았을때가 그립습니다 이제,2,열심히 놀았을때가 그립습니다 이제
66,옛생각에 눈물이 낭니다,2,옛생각에 눈물이 낭니다
67,옛생각에 눈물이 낭니다 노래방가면,2,옛생각에 눈물이 낭니다 노래방가면
70,이제 벌써 환갑을,2,이제 벌써 환갑을
71,이제 벌써 환갑을 향해,2,이제 벌써 환갑을 향해
74,이좋은 추억송이라도 들으면서,2,이좋은 추억송이라도 들으면서
75,이좋은 추억송이라도 들으면서 풋풋해던,2,이좋은 추억송이라도 들으면서 풋풋해던
78,정말 옛생각에 눈물이,2,정말 옛생각에 눈물이
79,정말 옛생각에 눈물이 낭니다,2,정말 옛생각에 눈물이 낭니다
82,지난 시간들이 아깝고,2,지난 시간들이 아깝고
83,지난 시간들이 아깝고 후회가,2,지난 시간들이 아깝고 후회가
86,추억송이라도 들으면서 풋풋해던,2,추억송이라도 들으면서 풋풋해던
87,추억송이라도 들으면서 풋풋해던 미모와,2,추억송이라도 들으면서 풋풋해던 미모와
90,춤추면서 열심히 놀았을때가,2,춤추면서 열심히 놀았을때가
91,춤추면서 열심히 놀았을때가 그립습니다,2,춤추면서 열심히 놀았을때가 그립습니다
94,풋풋해던 미모와 꾀꼬리,2,풋풋해던 미모와 꾀꼬리
95,풋풋해던 미모와 꾀꼬리 같은목소리로,2,풋풋해던 미모와 꾀꼬리 같은목소리로
98,향해 달려가니 지난,2,향해 달려가니 지난
99,향해 달려가니 지난 시간들이,2,향해 달려가니 지난 시간들이
102,환갑을 향해 달려가니,2,환갑을 향해 달려가니
103,환갑을 향해 달려가니 지난,2,환갑을 향해 달려가니 지난
106,후회가 마니 남네요,2,후회가 마니 남네
55,시간들이 아깝고 후회가 마니,2,시간들이 아깝고 후회가 마니
53,수다 떨때 회상하면서 행복해지려합니다,2,수다 떨때 회상하면서 행복해지려합니다
1,같은목소리로 수다 떨때 회상하면서,2,같은목소리로 수다 떨때 회상하면서
52,수다 떨때 회상하면서,2,수다 떨때 회상하면서
3,그립습니다 이제 벌써,2,그립습니다 이제 벌써
4,그립습니다 이제 벌써 환갑을,2,그립습니다 이제 벌써 환갑을
7,꾀꼬리 같은목소리로 수다,2,꾀꼬리 같은목소리로 수다
8,꾀꼬리 같은목소리로 수다 떨때,2,꾀꼬리 같은목소리로 수다 떨때
11,남네요 이좋은 추억송이라도,2,남네 이좋은 추억송이라도
12,남네요 이좋은 추억송이라도 들으면서,2,남네 이좋은 추억송이라도 들으면서
15,낭니다 노래방가면 춤추면서,2,낭니다 노래방가면 춤추면서
16,낭니다 노래방가면 춤추면서 열심히,2,낭니다 노래방가면 춤추면서 열심히
19,노래방가면 춤추면서 열심히,2,노래방가면 춤추면서 열심히
20,노래방가면 춤추면서 열심히 놀았을때가,2,노래방가면 춤추면서 열심히 놀았을때가
23,놀았을때가 그립습니다 이제,2,놀았을때가 그립습니다 이제
24,놀았을때가 그립습니다 이제 벌써,2,놀았을때가 그립습니다 이제 벌써
27,눈물이 낭니다 노래방가면,2,눈물이 낭니다 노래방가면
28,눈물이 낭니다 노래방가면 춤추면서,2,눈물이 낭니다 노래방가면 춤추면서
31,달려가니 지난 시간들이,2,달려가니 지난 시간들이
32,달려가니 지난 시간들이 아깝고,2,달려가니 지난 시간들이 아깝고
35,들으면서 풋풋해던 미모와,2,들으면서 풋풋해던 미모와
36,들으면서 풋풋해던 미모와 꾀꼬리,2,들으면서 풋풋해던 미모와 꾀꼬리
39,떨때 회상하면서 행복해지려합니다,2,떨때 회상하면서 행복해지려합니다
40,마니 남네요 이좋은,2,마니 남네 이좋은
41,마니 남네요 이좋은 추억송이라도,2,마니 남네 이좋은 추억송이라도
44,미모와 꾀꼬리 같은목소리로,2,미모와 꾀꼬리 같은목소리로
45,미모와 꾀꼬리 같은목소리로 수다,2,미모와 꾀꼬리 같은목소리로 수다
48,벌써 환갑을 향해,2,벌써 환갑을 향해
49,벌써 환갑을 향해 달려가니,2,벌써 환갑을 향해 달려가니
107,후회가 마니 남네요 이좋은,2,후회가 마니 남네 이좋은
