id,comment
@reeshmac,수많은 댓글들 중에서 이 댓글을 찾은 당신에게 행복한 나날이 있기를 진심으로 기원합니다.
@GhibliMusicBGM,"The playlist that relaxed me the most was this, it really is very beautiful. Classical music is very relaxing and melodic, I loved it. <3"
@lofikeepyousafe,"To the person reading this, Good Luck! Don't stress, everything will be fine. No matter what difficulty you are facing right now, you can overcome it! You are strong and brave "
@user-tf6qc7uh3w,마음이 편안해지고 싶은 사람들이 정말 많구나 .. 다들 행복하셨으면 좋겠다 ..
@user-kj8ii6ml1r,취업에 대한 걱정이 너무 심해서 밤마다 잠들때면 가슴이 답답하고 온갖 생각에 잠을 잘 못 이루는데... 여러분들의 따뜻한 댓글과 좋은 음악 덕분에 힐링하고 더 힘차고 밝은 내일을 보낼 수 있을 것 같습니다. 모두들 행복하시길 바랄게요..
@suek1700,진짜 마음이 편안해지고 깨끗해지네요!이 노래가 모두의 마음이 편안해질 수 있길 바래요:)
@Jojo1992xxx,"이 음악을 들으시는 모든 분들의 아침이 두려움이나,불행이 아닌, 희망과 행복으로 가득하시길 바랍니다!"
@aipoh,Thank you  for composing such a wonderful music. Feeling great and calm    listening to it. Thank you so much.
@starbucksjazzmusicoffici-rk7cs,"Remember that it's just a bad day, not a bad life. So take a rest and give your mind and heart peace while listening to this beautiful melodic music."
@lullabyvibes_official,"To everyone who reads this: Everything is good in this very moment. Think about that. In this second, there is nothing to worry or think about. It's the perfect time to relax and enjoy how comfortable your bed is. "
@relaxingfiresound,I love this playlist so much. I have so many different relaxing playlists but this makes me feel so peaceful like I’m in a forest.
@chillvibes5-kc7ux,Added in my new routine. This music while having breakfast 
@ysy953366,"여기 계신분들, 마음이 힘들어서 찾아오신분들, 많이 지치신분들 모두 행복했으면 좋겠네요.. 지금도 충분히 다들 잘 하고 있으니까 걱정하지 마세요 :) 앞으로 남은 날들만 바라봅시다 ㅎㅎ.."
@relaxandhealing6146,"To anybody who's reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind. May clarity replace confusion. May peace and calmness fill your life. "
@Tikklehana,피아노 선율이 너무너무 따뜻하고 정겹네요! 마음에 위로를 듬뿍 담아 갑니다! 항상 좋은 음악 만드시고 행복한 하루하루 되시길 바랍니다^^
@CafeJazzLovely,"I played this last night while having a relaxing much needed spa night. I used an under eye mask, lit a candle and turned off the lights. It was heavenly."
@xanderkeshawn989,This is the only thing that helped me sleep during my pregnancy and now it’s the only thing that puts my babies to sleep. Thank you! Sending so much love and positivity your way
@user-ow8cr8fk9k,마음이 편하고 음악이 너무 좋아요
@musichealingsoul-9400,수많은 댓글 중에서 제 댓글을 보신분은 건강하시고 행복한 나날이 있기를 기도합니다여기 들어온 모든 분들 행복해지시고 올해도 화이팅하시길…!그리고 불면증 있으신 분들도 꼭 이 노래 들으시고 치료되길 기도하겠습니다!!
@BGMDisneyStudio,This will be every night for as long as I live! Love it so much 
